Section,Subsection,Key,Value
⚠️ MANDATORY FILE READING INSTRUCTION,,READ ALL FILES BEFORE ANALYSIS,"CRITICAL: This formula file is only ONE of NINE files in this batch. You MUST read and load ALL files before starting any analysis. The complete file set is: (1) ztrade_formula.csv [this file — rules & framework], (2) ztrade_export_1w_part1.csv, (3) ztrade_export_1w_part2.csv, (4) ztrade_export_1d_part1.csv, (5) ztrade_export_1d_part2.csv, (6) ztrade_export_4h_part1.csv, (7) ztrade_export_4h_part2.csv, (8) ztrade_export_1h_part1.csv, (9) ztrade_export_1h_part2.csv. DO NOT begin analysis until all 9 files are loaded. Missing any file means incomplete multi-timeframe data and your analysis will be incorrect. IMPORTANT EXCEPTION: Sometimes the user may only provide data for a subset of timeframes (e.g. only 1H+4H, or only 1D+1W, or only 1H+4H+1D+1W). In that case, count how many export files are actually attached and proceed with only the timeframes available — but explicitly state at the start of your analysis which timeframes are present and which are missing, and note that missing timeframes limit the depth of multi-timeframe confluence."
DOCUMENTATION,,Datetime,วันเวลาของแท่งเทียนที่คำนวณ (อ้างอิงตาม TradingView)
DOCUMENTATION,,Open High Low Close,"ราคาเปิด, สูงสุด, ต่ำสุด, ปิด ของแท่งเทียนนั้น"
DOCUMENTATION,,Volume,ปริมาณการซื้อขายในแท่งเทียนนั้น
DOCUMENTATION,,EMA 20 50 100 200,เส้นค่าเฉลี่ยเคลื่อนที่แบบ Exponential ชี้วัดแนวโน้มระยะสั้น กลาง ยาว
DOCUMENTATION,,RSI,"ดัชนีชี้วัดโมเมนตัม แกว่ง 0-100 (เกิน 70 คือ Overbought, ต่ำกว่า 30 คือ Oversold)"
DOCUMENTATION,,OBV,"ปริมาณการซื้อขายสะสม (พุ่งขึ้น = รายใหญ่กำลังสะสมของ, ลง = ถูกเทขาย)"
DOCUMENTATION,,CMF,"บ่งบอกแรงซื้อสุทธิหรือขายสุทธิ (ค่าบวก = แรงซื้อชนะ, ค่าลบ = แรงขายชนะ)"
DOCUMENTATION,,VWAP,ราคาเฉลี่ยถ่วงน้ำหนักด้วยวอลุ่ม เป็นต้นทุนเฉลี่ยของรายใหญ่/สถาบันในวันนั้นๆ
DOCUMENTATION,,FVG,"ขนาดช่องว่างราคาที่ไม่สมดุล (Fair Value Gap) ในหน่วยราคา (ค่าบวก = ขาขึ้น, ค่าลบ = ขาลง)"
DOCUMENTATION,,RVOL,Relative Volume สัดส่วนปริมาณการซื้อขายเทียบกับค่าเฉลี่ย 20 แท่งย้อนหลัง (>1 คือสูงกว่าปกติ)
DOCUMENTATION,,RVOL_Deviation,"เปอร์เซ็นต์ความเบี่ยงเบนของปริมาณการซื้อขาย (บวกคือมากกว่าปกติ, ลบคือน้อยกว่าปกติ)"
ADVANCED_VOLUME_ANALYSIS,,1. Vector-Based Volume Analysis (First Derivative / Slope),"แทนที่จะดูว่า OBV หรือ SmartMCDX มีค่าเท่าไหร่ ให้ดูว่า 'ความชัน' (Slope) กำลังพุ่งขึ้นหรือปักลง สูตร: Slope = Indicator ปัจจุบัน - Indicator ก่อนหน้า (ค่า > 0: Positive Momentum, ค่า < 0: Negative Momentum) วิธีนำไปใช้: ถ้า Slope เป็นบวกติดต่อกัน 2-3 แท่ง แสดงว่าอินดิเคเตอร์กำลังเร่งตัวขึ้นอย่างแข็งแกร่ง (Confirmed Trend)"
ADVANCED_VOLUME_ANALYSIS,,2. Relative Volume (RVOL) & Deviation (%),"วัดว่า 'แท่งนี้มีวอลุ่มผิดปกติไหม' โดยอิงจากค่าเฉลี่ยของตัวเอง สูตร: RVOL = V / SMA(V, n) และ Dev (%) = (RVOL - 1) * 100 วิธีนำไปใช้: ใช้ค่า Deviation เป็นตัวกรอง (Filter) ถ้า Dev > 50% ให้ถือว่าผิดปกติ การใช้ 2 วิธีนี้ช่วยแก้ปัญหาเรื่อง Data Feed ที่ให้ Volume ไม่เท่ากันได้ เพราะโฟกัสที่ทิศทาง (Direction) และสัดส่วน (Ratio) แทนตัวเลขดิบ"
ADVANCED_VOLUME_ANALYSIS,,Strategy Logic (การรวมสูตรคำนวณ),Condition 1 (Momentum Confirmation): เช็คค่า Slope ของ OBV ว่ามีค่า > 0 (+1) หรือ < 0 (-1). Condition 2 (Volume Validation): เช็คค่า Dev (%) ต้อง > 50%. หากทั้งสองเงื่อนไขสอดคล้องกัน ให้ส่งเป็นตัวเลขที่มีนัยสำคัญ (เช่น +1 สำหรับทิศทางบวก และปริมาณหนาแน่น)
ADVANCED_VOLUME_ANALYSIS,,Code Implementation Example (JavaScript / Node.js),"function getMomentum(curr, prev) { return curr - prev > 0 ? 1 : (curr - prev < 0 ? -1 : 0); } function getVolAnomaly(currVol, histVols) { const sma = histVols.reduce((a,b)=>a+b,0)/histVols.length; const dev = ((currVol/sma)-1)*100; return { dev, isAnomaly: dev > 50 }; } function checkEntry(currOBV, prevOBV, currVol, histVols) { if(getMomentum(currOBV, prevOBV) === 1 && getVolAnomaly(currVol, histVols).isAnomaly) return 1; return 0; }"
IPI,,Institutional Power Index (IPI),เป็นการประเมินเทียบเท่าอินดิเคเตอร์ SmartMCDX เพื่อวัดปริมาณสะสมของรายใหญ่ โดยคำนวณเฉพาะแท่ง Regular Trading Hours (RTH) ที่ปิดสมบูรณ์แล้วและมีปริมาณการซื้อขายหนาแน่น:
